,StateWellNumber,County,LongitudeDD,LatitudeDD,LandSurfaceElevationMethod,WellDepth,WaterElevation,DepthFromLSD
0,6154901,Jefferson,-94.266112,30.134722,Interpolated From Topo Map,21.0,23.1,6.9
1,6154902,Jefferson,-94.2711111,30.1591667,Digital Elevation Model -DEM,450.0,-17.17888888888889,45.17888888888889
2,6154904,Jefferson,-94.2702778,30.1616667,Digital Elevation Model -DEM,530.0,-17.287142857142857,44.287142857142854
3,6154905,Jefferson,-94.271389,30.159167,Interpolated From Topo Map,572.0,-25.33857142857143,51.33857142857143
7,6155701,Jefferson,-94.213889,30.130555,Interpolated From Topo Map,68.0,27.0,9.0
8,6155703,Jefferson,-94.228055,30.161389,Interpolated From Topo Map,190.0,21.0,5.0
9,6155707,Jefferson,-94.2324917,30.1532694,Digital Elevation Model -DEM,500.0,-27.187419354838706,50.18741935483871
10,6155708,Jefferson,-94.2325,30.156945,Interpolated From Topo Map,500.0,-12.524444444444445,38.52444444444444
11,6155803,Jefferson,-94.194445,30.143889,Interpolated From Topo Map,63.0,24.0,8.0
12,6155805,Jefferson,-94.185278,30.156389,Interpolated From Topo Map,187.0,22.5,11.5
14,6156702,Jefferson,-94.098889,30.131111,Interpolated From Topo Map,534.0,9.592,7.4079999999999995
15,6161308,Jefferson,-94.404723,30.095278,Interpolated From Topo Map,96.0,30.6,4.4
16,6161602,Jefferson,-94.407223,30.073611,Interpolated From Topo Map,300.0,29.3,6.7
17,6161801,Jefferson,-94.436667,30.015834,Interpolated From Topo Map,30.0,41.0,4.0
18,6161803,Jefferson,-94.425278,30.036111,Interpolated From Topo Map,98.0,33.6,7.4
19,6161804,Jefferson,-94.417778,30.035556,Interpolated From Topo Map,118.0,31.0,11.0
21,6161904,Jefferson,-94.384722,30.037778,Interpolated From Topo Map,176.0,30.9,11.1
22,6161905,Jefferson,-94.385,30.04,Interpolated From Topo Map,441.0,29.0,13.0
23,6161907,Jefferson,-94.4086111,30.0305556,Digital Elevation Model -DEM,145.0,30.54236842105263,13.457631578947368
24,6162203,Jefferson,-94.304445,30.085,Interpolated From Topo Map,26.0,34.0,9.0
25,6162303,Jefferson,-94.275555,30.089167,Interpolated From Topo Map,102.0,30.0,8.0
26,6162305,Jefferson,-94.291667,30.096389,Interpolated From Topo Map,208.0,31.0,8.0
27,6162306,Jefferson,-94.256389,30.107778,Interpolated From Topo Map,226.0,12.0,27.0
28,6162308,Jefferson,-94.266389,30.09,Interpolated From Topo Map,150.0,23.0,12.0
29,6162403,Jefferson,-94.345834,30.063334,Interpolated From Topo Map,204.0,15.8,29.2
30,6162404,Jefferson,-94.338334,30.065834,Interpolated From Topo Map,11.0,36.2,3.8
31,6162406,Jefferson,-94.3375,30.048611,Interpolated From Topo Map,142.0,31.0,10.0
